Ticker
NVDA
AAPL
MSFT
AMZN
GOOGL
AVGO
GOOG
META
TSLA
BRK-B
JPM
LLY
V
XOM
JNJ
WMT
MA
PLTR
ABBV
NFLX
COST
BAC
HD
AMD
PG
ORCL
GE
MU
CSCO
UNH
WFC
IBM
CVX
KO
CAT
MRK
GS
PM
CRM
RTX
LRCX
MCD
TMO
ABT
C
AMAT
MS
AXP
DIS
ISRG
LIN
PEP
QCOM
INTU
GEV
AMGN
BKNG
TJX
SCHW
APP
VZ
T
ACN
KLAC
NEE
APH
BLK
UBER
BA
TXN
SPGI
INTC
NOW
COF
GILD
ADBE
DHR
PFE
BSX
UNP
ADI
LOW
ANET
PGR
WELL
PANW
ETN
HON
MDT
SYK
PLD
VRTX
CRWD
NEM
BX
CB
COP
DE
CEG
PH
BMY
CMCSA
ADP
MCK
CVS
CME
LMT
TMUS
SBUX
MO
SO
ICE
MMC
DUK
SPOT
KKR
SNPS
HOOD
TT
CRH
CDNS
MMM
GD
USB
PNC
HWM
DASH
AMT
BK
WM
MCO
JCI
REGN
NOC
ORLY
ELV
GM
HCA
EMR
FCX
SHW
MRVL
AON
EQIX
UPS
SNOW
ITW
CI
TDG
WMB
RCL
CMI
MDLZ
MAR
NKE
GLW
CSX
HLT
WBD
ECL
AJG
CTAS
NSC
TFC
TRV
CL
ADSK
PWR
VRT
NET
FDX
MSI
COR
WDC
APO
AEP
SPG
CVNA
ABNB
ROST
SRE
PCAR
AZO
NU
SLB
EOG
PYPL
ZTS
BDX
LHX
APD
ALL
VST
IDXX
MNST
AFL
DLR
URI
COIN
KMI
F
O
PSX
FTNT
EA
RBLX
ALNY
D
MPC
VLO
EW
CMG
CAH
CBRE
ROP
AME
AIG
FAST
WDAY
TTWO
AMP
CTVA
DAL
AU
OKE
GWW
ROK
TGT
MET
NDAQ
BKR
FERG
XEL
EXC
MPWR
AXON
RSG
MSCI
DDOG
MSTR
YUM
CARR
ETR
CTSH
PSA
DELL
FICO
LNG
PRU
PEG
TRGP
HIG
A
EBAY
DHI
VMC
MLM
IQV
CCI
KR
NUE
GEHC
WAB
STT
VTR
INSM
UAL
PAYX
FISV
KDP
XYZ
SYY
FIS
RMD
ED
KEYS
FLUT
CPRT
PCG
WEC
MDB
ACGL
OTIS
MCHP
XYL
CIEN
EXPE
EQT
SNDK
KMB
FIX
GRMN
VEEV
CCL
KVUE
SOFI
FITB
HPE
IR
MTB
WTW
CPNG
ARES
TER
HUM
SYF
VRSK
NRG
DG
NTRA
RJF
ODFL
VICI
LPLA
COHR
MTD
RKLB
IBKR
CSGP
OXY
RDDT
HBAN
ADM
FANG
EME
EXR
LITE
FSLR
EFX
DOV
TSCO
CBOE
MKL
ULTA
TEAM
TPR
DTE
BR
AEE
ATO
NTRS
HSY
DXCM
EL
CFG
PPL
AVB
BIIB
OMC
AWK
CINF
JBL
GIS
CNP
STE
RF
ES
EXE
FE
HUBB
STLD
VLTO
IRM
EQR
TDY
DLTR
PPG
HAL
LDOS
FLEX
PHM
BRO
ZM
ON
WAT
LYV
TROW
EIX
QSR
ZS
DVN
WSM
NTAP
CRDO
DRI
LULU
HPQ
LH
LEN
UTHR
ILMN
PSTG
CW
CASY
CPAY
EXPD
ALAB
CHD
IP
PTC
CMS
VRSN
FWONK
KHC
PODD
SBAC
LVS
WRB
BAM
AFRM
HUBS
TYL
NVR
STZ
SW
KEY
WST
CNC
TWLO
PFG
FCNCA
RBA
CHRW
GPN
CTRA
NI
LUV
HEIA
TRMB
DGX
BE
IT
RGLD
SSNC
EXAS
AMCR
WWD
PKG
BURL
SGI
RKT
FTI
SNA
L
CDW
ZBH
FTAI
FTV
Q
MKC
USFD
THC
PNR
GPC
GDDY
WY
TLN
ALB
CHTR
GWRE
IFF
DD
NVT
TTD
TRU
ROL
ESS
FN
EVRG
COO
HOLX
INVH
TOST
DKNG
APTV
JLL
LNT
TSN
DOW
TPL
ATI
J
CRS
TXT
EWBC
RIVN
MAA
RS
INCY
XPO
CG
BWXT
ASTS
NLY
SMCI
FOXA
LII
JBHT
IONQ
RPRX
PINS
SUI
GEN
ITT
DECK
FFIV
TKO
BALL
U
VTRS
ROKU
APG
SATS
OKTA
PFGC
RVMD
NBIX
FNF
HII
HEI
CSL
WPC
EG
RBC
MTZ
AVY
DOCU
RL
JKHY
ALLE
GGG
DKS
RPM
LECO
MAS
KIM
UNM
EQH
AA
IEX
RGA
DPZ
BBY
RNR
TOL
NTNX
SF
EVR
NDSN
SCCO
DT
NXT
ACM
MEDP
HST
ENTG
MLI
CF
VIK
OHI
TW
HL
KTOS
QXO
GH
REG
IONS
AKAM
ZBRA
EXEL
ALLY
AIZ
CACI
BJ
SNX
BLD
FHN
PEN
UHS
CLX
CLH
WCC
UDR
WSO
CCK
GLPI
CMA
DTM
CDE
AYI
CPT
SOLV
BBIO
BG
EPAM
ELS
GL
Z
TXRH
RVTY
SWK
HAS
NYT
BLDR
IOT
MDGL
DOC
AGNC
FDS
LYB
BMRN
SCI
DCI
MRNA
LAMR
ELAN
EHC
ORI
MTSI
MANH
ALGN
BXP
MKSI
DAY
PNW
WMS
WTRG
WBS
RBRK
AMH
CRL
AIT
JAZZ
LSCC
CNM
BAH
FIVE
ONON
RMBS
DY
SJM
OVV
NWSA
IVZ
AAL
AES
SPXC
GMED
BAX
ENSG
NCLH
SWKS
